AREA,AGE,SITE_INDEX,L7_M_20000813_B1,L7_M_20000813_B2,L7_M_20000813_B3,L7_M_20000813_B4,L7_M_20000813_B5,L7_M_20000813_B7,AREA*AREA,AREA*AGE,AREA*SITE_INDEX,AREA*L7_M_20000813_B1,AREA*L7_M_20000813_B2,AREA*L7_M_20000813_B3,AREA*L7_M_20000813_B4,AREA*L7_M_20000813_B5,AREA*L7_M_20000813_B7,AGE*AGE,AGE*SITE_INDEX,AGE*L7_M_20000813_B1,AGE*L7_M_20000813_B2,AGE*L7_M_20000813_B3,AGE*L7_M_20000813_B4,AGE*L7_M_20000813_B5,AGE*L7_M_20000813_B7,SITE_INDEX*SITE_INDEX,SITE_INDEX*L7_M_20000813_B1,SITE_INDEX*L7_M_20000813_B2,SITE_INDEX*L7_M_20000813_B3,SITE_INDEX*L7_M_20000813_B4,SITE_INDEX*L7_M_20000813_B5,SITE_INDEX*L7_M_20000813_B7,L7_M_20000813_B1*L7_M_20000813_B1,L7_M_20000813_B1*L7_M_20000813_B2,L7_M_20000813_B1*L7_M_20000813_B3,L7_M_20000813_B1*L7_M_20000813_B4,L7_M_20000813_B1*L7_M_20000813_B5,L7_M_20000813_B1*L7_M_20000813_B7,L7_M_20000813_B2*L7_M_20000813_B2,L7_M_20000813_B2*L7_M_20000813_B3,L7_M_20000813_B2*L7_M_20000813_B4,L7_M_20000813_B2*L7_M_20000813_B5,L7_M_20000813_B2*L7_M_20000813_B7,L7_M_20000813_B3*L7_M_20000813_B3,L7_M_20000813_B3*L7_M_20000813_B4,L7_M_20000813_B3*L7_M_20000813_B5,L7_M_20000813_B3*L7_M_20000813_B7,L7_M_20000813_B4*L7_M_20000813_B4,L7_M_20000813_B4*L7_M_20000813_B5,L7_M_20000813_B4*L7_M_20000813_B7,L7_M_20000813_B5*L7_M_20000813_B5,L7_M_20000813_B5*L7_M_20000813_B7,L7_M_20000813_B7*L7_M_20000813_B7,Target
0.052830677,0.18787879,0.33909276,0.31352475,0.49659407,0.3785847,0.62572473,0.48531318,0.38016167,0.0029602216,0.015624623,0.05272933,0.054751582,0.05333171,0.0498262,0.04917076,0.04960823,0.045724105,0.03529844,0.19449754,0.119973816,0.17327598,0.14113198,0.14530408,0.14380284,0.14980522,0.11498392,0.22203514,0.23501703,0.18995285,0.26610926,0.24573018,0.20600928,0.16717876,0.27079558,0.2046987,0.4864182,0.31495252,0.2525564,0.33092266,0.24952203,0.46740144,0.3040816,0.2446011,0.18764848,0.3499419,0.22705606,0.18329456,0.45375314,0.41976595,0.34089413,0.27294672,0.220898,0.17862359,78.54082
0.024132533,0.6969697,0.24540122,0.30707014,0.7391897,0.43504533,0.9109128,0.67918783,0.5152899,0.0006619819,0.027455831,0.018075876,0.02494223,0.033029426,0.025861109,0.03131085,0.031269122,0.02779052,0.48576677,0.5221658,0.43983018,0.8504232,0.583314,0.72960806,0.71383,0.71730536,0.06022176,0.15879701,0.22501843,0.1531598,0.26067165,0.23796213,0.19243585,0.16238931,0.36820033,0.22769512,0.66812396,0.42364448,0.32804456,0.6114257,0.37801382,0.8673961,0.55118454,0.4290729,0.23556896,0.5376064,0.34267294,0.26717412,0.85132265,0.7724327,0.6064145,0.49393648,0.38614735,0.30166882,115.66078
0.2038873,0.5030303,0.20689796,0.3646764,0.56497943,0.4149518,0.8335495,0.64491725,0.48390368,0.042118683,0.15772693,0.121302545,0.2297068,0.22266276,0.2044788,0.23540056,0.24092187,0.21241455,0.25303948,0.31773728,0.35115665,0.5061741,0.40565082,0.4892742,0.49218777,0.490621,0.04280677,0.14810081,0.15645237,0.12442108,0.20420003,0.19166514,0.1537543,0.20713784,0.33185747,0.24420233,0.6881527,0.44896752,0.34493175,0.4020986,0.29594755,0.65565205,0.43070492,0.3318215,0.21792166,0.47926497,0.31475663,0.24325365,0.7316672,0.6839612,0.5322329,0.45022243,0.34899777,0.2703043,186.04947
0.17036264,0.5272727,0.23058917,0.3184586,0.5128763,0.3676813,0.7471012,0.63643414,0.4789292,0.029501176,0.13836798,0.113146506,0.17714554,0.17427646,0.15568134,0.1800841,0.19921863,0.17614777,0.27801654,0.37118638,0.33972737,0.4968329,0.38734943,0.46915016,0.50993717,0.50976557,0.053171366,0.15234515,0.16328043,0.12632407,0.20818855,0.21113998,0.16986078,0.17087796,0.28057367,0.20168269,0.5729641,0.40764076,0.31375706,0.34730715,0.24929391,0.5561328,0.39740917,0.30685046,0.17899042,0.3961564,0.2825736,0.21886729,0.60835904,0.6170005,0.48126507,0.43971017,0.34181195,0.26548794,196.99396
0.08492043,0.21818182,0.22433735,0.29172453,0.43328023,0.38828588,0.4838856,0.43901476,0.3818731,0.007474146,0.028823195,0.05541497,0.08419865,0.078054965,0.081272535,0.064559415,0.07266019,0.07315409,0.047603305,0.14943004,0.1337906,0.1842608,0.16710956,0.13906874,0.15351316,0.17460798,0.050327245,0.14105973,0.1423758,0.12813385,0.14509548,0.14944413,0.1367937,0.15123004,0.2325649,0.19994517,0.37416878,0.27541873,0.24264458,0.2705513,0.23153917,0.34331074,0.25332323,0.22350524,0.19551411,0.29096013,0.21228407,0.18776867,0.30049762,0.3143898,0.27947816,0.229627,0.20331834,0.1799867,83.50726
0.054396037,0.15151516,0.28109977,0.31314513,0.45552695,0.42529646,0.50272655,0.4309668,0.37197664,0.003132793,0.012962239,0.044966217,0.056320634,0.051833972,0.056212846,0.042792473,0.046162874,0.0462129,0.02295684,0.13002723,0.096686155,0.13209799,0.12456422,0.099312566,0.10497869,0.11868304,0.07901707,0.18393447,0.1841708,0.1723365,0.18696055,0.18439782,0.16776916,0.16689548,0.25326508,0.22601926,0.40404058,0.28278595,0.24754591,0.29115862,0.25889894,0.3668283,0.25780156,0.22600776,0.22692509,0.32318056,0.22486697,0.19768558,0.31915337,0.31855315,0.28139627,0.22246866,0.1957366,0.17217372,56.77525
0.4159927,0.18181819,0.22898896,0.35841,0.5591928,0.48858377,0.577736,0.5413105,0.4848496,0.1738711,0.11582816,0.27276796,0.46313375,0.45026547,0.47426057,0.35797688,0.4206564,0.432727,0.03305785,0.12710705,0.12559853,0.18166253,0.16695155,0.13225119,0.1527543,0.17762795,0.052435946,0.16220202,0.1719344,0.15680042,0.16901225,0.18214655,0.17045414,0.20205139,0.32527035,0.27806276,0.4957937,0.3781443,0.34170923,0.39583573,0.33741954,0.47695956,0.36475465,0.3299395,0.28578895,0.40522155,0.3075546,0.27859408,0.3985948,0.43383172,0.39504227,0.33021152,0.29927862,0.2712249,61.90265
0.16123141,0.21818182,0.26441696,0.2854695,0.39364484,0.36059764,0.44346038,0.3973308,0.3511698,0.026452685,0.05421713,0.12285963,0.1576104,0.13917467,0.14519893,0.1145134,0.12621643,0.12886994,0.047603305,0.17612688,0.1322028,0.17364177,0.15793546,0.13061215,0.14137337,0.16311526,0.06991633,0.16428801,0.15814124,0.14273483,0.16061854,0.16221409,0.15062062,0.14677328,0.2133939,0.18521188,0.34352177,0.24862933,0.22233929,0.23546204,0.20385997,0.29943463,0.21763913,0.19483748,0.17346892,0.25608093,0.18366334,0.16482225,0.26222914,0.26989856,0.24342756,0.19374287,0.17402796,0.15629368,198.29407
0.033785548,0.096969694,0.40561906,0.30022722,0.4611353,0.3726209,0.8383515,0.62748927,0.4495345,0.0012518045,0.0052475967,0.04104353,0.03429264,0.032665662,0.03170311,0.040323783,0.040195346,0.03408726,0.009403123,0.12008042,0.060421754,0.085210524,0.071964085,0.094764374,0.09262374,0.08885982,0.1645268,0.25916126,0.26785251,0.22448005,0.40222478,0.36682156,0.28320882,0.15737359,0.2485246,0.19650705,0.6118035,0.38835752,0.2858182,0.29645723,0.23361048,0.5705633,0.36471882,0.26936728,0.18288893,0.44168252,0.2819156,0.20922166,0.73883843,0.67057323,0.5016109,0.42875817,0.31957674,0.2378917,34.18291
0.031307068,0.27272728,0.44374767,0.2685861,0.40572625,0.29420838,0.7957517,0.5530883,0.38850194,0.0010826418,0.0137279155,0.04176515,0.029851334,0.02788199,0.024555238,0.03587419,0.0334209,0.028008275,0.07438017,0.36947277,0.15989634,0.22109824,0.16992289,0.25538543,0.2334191,0.22136153,0.196912,0.26677215,0.27034166,0.20617642,0.4216431,0.35957885,0.27442822,0.13500933,0.20966308,0.15041967,0.54650575,0.32393548,0.23464085,0.2459371,0.17608161,0.49992633,0.29859984,0.21717481,0.12567928,0.35151285,0.20996873,0.15348347,0.6764028,0.5736213,0.42353046,0.3429346,0.2523187,0.18531366,475.61865
